Product Name,Genes,Component coefficients,Gene products
CPX-2910,YDL074C // YGL058W,TUPLE // YDL074C-MONOMER // 1 // TUPLE // YGL058W-MONOMER // 1,YDL074C-MONOMER // YGL058W-MONOMER
CPX-1307,YDR252W // YHR193C,TUPLE // YDR252W-MONOMER // 1 // TUPLE // YHR193C-MONOMER // 1,YDR252W-MONOMER // YHR193C-MONOMER
CPX-154,YGR188C // YOR026W,TUPLE // YGR188C-MONOMER // 1 // TUPLE // YOR026W-MONOMER // 1,YGR188C-MONOMER // YOR026W-MONOMER
CPX-964,YJR053W // YMR055C,TUPLE // YJR053W-MONOMER // 1 // TUPLE // YMR055C-MONOMER // 1,YJR053W-MONOMER // YMR055C-MONOMER
CPX-1705,YAR014C // YER133W,TUPLE // YAR014C-MONOMER // 1 // TUPLE // YER133W-MONOMER // 1,YAR014C-MONOMER // YER133W-MONOMER
CPX-1047,YCR047C // YNR046W,TUPLE // YCR047C-MONOMER // 1 // TUPLE // YNR046W-MONOMER // 1,YCR047C-MONOMER // YNR046W-MONOMER
CPX-1125,YDL099W // YDR517W,TUPLE // YDL099W-MONOMER // 1 // TUPLE // YDR517W-MONOMER // 1,YDL099W-MONOMER // YDR517W-MONOMER
CPX-2921,YMR275C // YER125W,TUPLE // YMR275C-MONOMER // 1 // TUPLE // YER125W-MONOMER // 1,YMR275C-MONOMER // YER125W-MONOMER
CPX-2923,YML111W // YER125W,TUPLE // YML111W-MONOMER // 1 // TUPLE // YER125W-MONOMER // 1,YML111W-MONOMER // YER125W-MONOMER
CPX-1685,YLR226W // YPR161C,TUPLE // YLR226W-MONOMER // 1 // TUPLE // YPR161C-MONOMER // 1,YLR226W-MONOMER // YPR161C-MONOMER
CPX-568,YML102W // YBR195C // YPR018W,TUPLE // YML102W-MONOMER // 1 // TUPLE // YBR195C-MONOMER // 1 // TUPLE // YPR018W-MONOMER // 1,YML102W-MONOMER // YBR195C-MONOMER // YPR018W-MONOMER
CPX-588,YLR433C // YKL190W,TUPLE // YLR433C-MONOMER // 1 // TUPLE // YKL190W-MONOMER // 1,YLR433C-MONOMER // YKL190W-MONOMER
CPX-590,YML057W // YKL190W,TUPLE // YML057W-MONOMER // 1 // TUPLE // YKL190W-MONOMER // 1,YML057W-MONOMER // YKL190W-MONOMER
CPX-1657,YPL178W // YMR125W,TUPLE // YPL178W-MONOMER // 1 // TUPLE // YMR125W-MONOMER // 1,YPL178W-MONOMER // YMR125W-MONOMER
CPX-1830,YGL237C // YBL021C // YKL109W // YOR358W,TUPLE // YGL237C-MONOMER // 1 // TUPLE // YBL021C-MONOMER // 1 // TUPLE // YKL109W-MONOMER // 1 // TUPLE // YOR358W-MONOMER // 1,YGL237C-MONOMER // YBL021C-MONOMER // YKL109W-MONOMER // YOR358W-MONOMER
CPX-1016,YJR060W // YNL103W // YIR017C,TUPLE // YJR060W-MONOMER // 1 // TUPLE // YNL103W-MONOMER // 1 // TUPLE // YIR017C-MONOMER // 1,YJR060W-MONOMER // YNL103W-MONOMER // YIR017C-MONOMER
CPX-1898,YGR140W // YMR168C // YMR094W // YDR328C,TUPLE // YGR140W-MONOMER // 1 // TUPLE // YMR168C-MONOMER // 1 // TUPLE // YMR094W-MONOMER // 1 // TUPLE // YDR328C-MONOMER // 1,YGR140W-MONOMER // YMR168C-MONOMER // YMR094W-MONOMER // YDR328C-MONOMER
CPX-1684,YNL161W // YFL034C-B,TUPLE // YNL161W-MONOMER // 1 // TUPLE // YFL034C-B-MONOMER // 1,YNL161W-MONOMER // YFL034C-B-MONOMER
CPX-384,YPL215W // YBR120C,TUPLE // YPL215W-MONOMER // 1 // TUPLE // YBR120C-MONOMER // 1,YPL215W-MONOMER // YBR120C-MONOMER
CPX-1800,YNL288W // YGR134W // YAL021C // YDL165W // YCR093W // YER068W // YIL038C // YPR072W // YNR052C,TUPLE // YNL288W-MONOMER // 1 // TUPLE // YGR134W-MONOMER // 1 // TUPLE // YAL021C-MONOMER // 1 // TUPLE // YDL165W-MONOMER // 1 // TUPLE // YCR093W-MONOMER // 1 // TUPLE // YER068W-MONOMER // 1 // TUPLE // YIL038C-MONOMER // 1 // TUPLE // YPR072W-MONOMER // 1 // TUPLE // YNR052C-MONOMER // 1,YNL288W-MONOMER // YGR134W-MONOMER // YAL021C-MONOMER // YDL165W-MONOMER // YCR093W-MONOMER // YER068W-MONOMER // YIL038C-MONOMER // YPR072W-MONOMER // YNR052C-MONOMER
CPX-2156,YDR212W // YIL142W // YJL014W // YDL143W // YJR064W // YDR188W // YJL111W // YJL008C,TUPLE // YDR212W-MONOMER // 2 // TUPLE // YIL142W-MONOMER // 2 // TUPLE // YJL014W-MONOMER // 2 // TUPLE // YDL143W-MONOMER // 2 // TUPLE // YJR064W-MONOMER // 2 // TUPLE // YDR188W-MONOMER // 2 // TUPLE // YJL111W-MONOMER // 2 // TUPLE // YJL008C-MONOMER // 2,YDR212W-MONOMER // YIL142W-MONOMER // YJL014W-MONOMER // YDL143W-MONOMER // YJR064W-MONOMER // YDR188W-MONOMER // YJL111W-MONOMER // YJL008C-MONOMER
CPX-1674,YBR131W // YGL124C,TUPLE // YBR131W-MONOMER // 1 // TUPLE // YGL124C-MONOMER // 1,YBR131W-MONOMER // YGL124C-MONOMER
CPX-977,YAL041W // YJL157C // YOR212W // YJR086W,TUPLE // YAL041W-MONOMER // 1 // TUPLE // YJL157C-MONOMER // 1 // TUPLE // YOR212W-MONOMER // 1 // TUPLE // YJR086W-MONOMER // 1,YAL041W-MONOMER // YJL157C-MONOMER // YOR212W-MONOMER // YJR086W-MONOMER
CPX-1699,YBR160W // YBR135W // YMR199W,TUPLE // YBR160W-MONOMER // 1 // TUPLE // YBR135W-MONOMER // 1 // TUPLE // YMR199W-MONOMER // 1,YBR160W-MONOMER // YBR135W-MONOMER // YMR199W-MONOMER
CPX-342,YBR160W // YBR135W // YPL256C,TUPLE // YBR160W-MONOMER // 1 // TUPLE // YBR135W-MONOMER // 1 // TUPLE // YPL256C-MONOMER // 1,YBR160W-MONOMER // YBR135W-MONOMER // YPL256C-MONOMER
CPX-1700,YBR160W // YBR135W // YAL040C,TUPLE // YBR160W-MONOMER // 1 // TUPLE // YBR135W-MONOMER // 1 // TUPLE // YAL040C-MONOMER // 1,YBR160W-MONOMER // YBR135W-MONOMER // YAL040C-MONOMER
CPX-2946,YDL126C // YBR170C // YGR048W,TUPLE // YDL126C-MONOMER // 1 // TUPLE // YBR170C-MONOMER // 1 // TUPLE // YGR048W-MONOMER // 1,YDL126C-MONOMER // YBR170C-MONOMER // YGR048W-MONOMER
CPX-3069,YDL126C // YBR170C // YDR049W,TUPLE // YDL126C-MONOMER // 1 // TUPLE // YBR170C-MONOMER // 1 // TUPLE // YDR049W-MONOMER // 1,YDL126C-MONOMER // YBR170C-MONOMER // YDR049W-MONOMER
