Product Name,Genes,Component coefficients,Gene products
CPLX3O-10525,YPR118W,TUPLE // YPR118W-MONOMER // 2,YPR118W-MONOMER
CPLX-709,YNR043W,TUPLE // MONOMER-653 // 2,MONOMER-653 // YNR043W-MONOMER
CPLX-708,YMR208W,TUPLE // YMR208W-MONOMER // 2,YMR208W-MONOMER
CPLX3O-44,YJL045W // YLL041C // YKL141W // YDR178W,TUPLE // CPLX3O-35 // 1 // TUPLE // YJL045W-MONOMER // 1 // TUPLE // YLL041C-MONOMER // 1 // TUPLE // CPLX3O-34 // 1 // TUPLE // YKL141W-MONOMER // 1 // TUPLE // YDR178W-MONOMER // 1,YJL045W-MONOMER // YLL041C-MONOMER // YKL141W-MONOMER // YDR178W-MONOMER
CPLX3O-35,YLL041C // YJL045W,TUPLE // YLL041C-MONOMER // 1 // TUPLE // YJL045W-MONOMER // 1,YLL041C-MONOMER // YJL045W-MONOMER
CPLX3O-85,YKL085W,TUPLE // YKL085W-MONOMER // 2,YKL085W-MONOMER
CPLX-8307,YLR163C // YHR024C,TUPLE // YLR163C-MONOMER // 1 // TUPLE // YHR024C-MONOMER // 1,YLR163C-MONOMER // YHR024C-MONOMER
CPLX-8752,YGL130W // YPL228W,TUPLE // YGL130W-MONOMER // 1 // TUPLE // YPL228W-MONOMER // 1,YGL130W-MONOMER // YPL228W-MONOMER
CPLX3O-24,G3O-29 // G3O-28,TUPLE // MONOMER3O-23 // 1 // TUPLE // MONOMER3O-20 // 1,MONOMER3O-23 // MONOMER3O-20
CPLX3O-10535,YDL040C // YHR013C // YOR253W,TUPLE // YDL040C-MONOMER // 1 // TUPLE // YHR013C-MONOMER // 1 // TUPLE //YOR253W-MONOMER // 1,YDL040C-MONOMER // YHR013C-MONOMER //YOR253W-MONOMER
CPLX3O-10536,YPR131C // YOL076W,TUPLE // YPR131C-MONOMER // 1 // TUPLE // YOL076W-MONOMER // 1,YPR131C-MONOMER // YOL076W-MONOMER
CPLX3O-10537,YPR051W // YEL053C // YCR020C-A ,TUPLE // YPR051W-MONOMER // 1 // TUPLE // YEL053C-MONOMER // 1 // TUPLE // YCR020C-A -MONOMER // 1,YPR051W-MONOMER // YEL053C-MONOMER // YCR020C-A -MONOMER
CPLX-8675,YJR049C,TUPLE // YJR049C-MONOMER // 6,YJR049C-MONOMER
CPLX-8676,YEL041W,TUPLE // YEL041W-MONOMER // 8,YEL041W-MONOMER
CPLX3O-317,YKR080W,TUPLE // YKR080W-MONOMER // 2,YKR080W-MONOMER
CPLX-8683,YML120C,TUPLE // YML120C-MONOMER // 2,YML120C-MONOMER
CPLX-8684,YLR174W,TUPLE // YLR174W-MONOMER // 2,YLR174W-MONOMER
CPLX-9064,YGL037C,TUPLE // YGL037C-MONOMER // 4,YGL037C-MONOMER
CPLX-7559,YLR328W,TUPLE // YLR328W-MONOMER // 4,YLR328W-MONOMER
CPLX3O-10519,YMR020W,TUPLE // YMR020W-MONOMER // 2,YMR020W-MONOMER
Nr-I,,,
Nr-II,,,
CPLX-8628,YKL067W,TUPLE // YKL067W-MONOMER // 6,YKL067W-MONOMER
CPLX-566,YLR303W,TUPLE // YLR303W-MONOMER // 4,YLR303W-MONOMER
CPLX3O-10527,YJL002C // YOR103C // YOR085W // YDL232W // YGL226C-A // YML019W // YMR149W // YEL002C // YGL022W,TUPLE // YJL002C-MONOMER // 1 // TUPLE // YOR103C-MONOMER // 1 // TUPLE // YOR085W-MONOMER // 1 // TUPLE // YDL232W-MONOMER // 1 // TUPLE // YGL226C-MONOMER // 1 // TUPLE // YML019W-MONOMER // 1 // TUPLE // YMR149W-MONOMER // 1 // TUPLE // YEL002C-MONOMER // 1 // TUPLE // YGL022W-MONOMER // 1,YJL002C-MONOMER // YOR103C-MONOMER // YOR085W-MONOMER // YDL232W-MONOMER // YGL226C-MONOMER // YML019W-MONOMER // YMR149W-MONOMER // YEL002C-MONOMER // YGL022W-MONOMER
CPLX-8704,YKR009C,TUPLE // YKR009C-MONOMER // 2,YKR009C-MONOMER
CPLX3O-83,YDL078C,TUPLE // YDL078C-MONOMER // 2,YDL078C-MONOMER
CPLX-7938,YFR019W // G3O-33309 // G3O-33086 // G3O-32452,TUPLE // YFR019W-MONOMER // 1 // TUPLE // MONOMER3O-86 // 1 // TUPLE // G3O-33086-MONOMER // 1 // TUPLE // G3O-32452-MONOMER // 1,YFR019W-MONOMER // MONOMER3O-86 // G3O-33086-MONOMER // G3O-32452-MONOMER
CPLX-564,YPR167C,TUPLE // YPR167C-MONOMER // 2,YPR167C-MONOMER
